stage,target,model_name,target_transform,split_id,fraction,n_train_rows,n_train_groups,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman
surface,surface_total_rust_pct,GradientBoosting,none,gss_0,0.2,132,8,0.0010106346005965858,0.23531714123822248,0.0014677373063502472,0.691045261924533,0.9999999836929259,0.9828618123976539,0.99996086594106,0.9990610275485339
surface,surface_total_rust_pct,GradientBoosting,none,gss_0,0.4,252,15,0.0015728929644769172,0.1953916237557408,0.0023280632312003054,0.6284937909329236,0.9999997020707247,0.9858239940018054,0.999116860356925,0.9994663235787411
surface,surface_total_rust_pct,GradientBoosting,none,gss_0,0.6,378,23,0.0028740822344606293,0.08502330038766646,0.004572438558032871,0.322924105652251,0.9999995833330976,0.9962575773220044,0.9999457864358569,0.999629785494705
surface,surface_total_rust_pct,GradientBoosting,none,gss_0,0.8,494,30,0.0032927183480861762,0.08108274344904938,0.005418765626939581,0.4018559096094492,0.999999369434637,0.9942044771299741,0.9994536568485869,0.9997499566803867
surface,surface_total_rust_pct,GradientBoosting,none,gss_0,1.0,632,38,0.0038910420737335747,0.06049633672601882,0.006528964695267518,0.27008742330908136,0.999998937189386,0.9973820543356345,0.9987863611737148,0.9997074119766911
surface,surface_total_rust_pct,GradientBoosting,none,gss_1,0.2,132,8,0.00023941127783784204,0.09526901965097527,0.0003408650949306295,0.2842932720739959,0.9999999959631896,0.9834819657094536,0.9961773575524109,0.9970942135121135
surface,surface_total_rust_pct,GradientBoosting,none,gss_1,0.4,246,15,0.0011937769563518305,0.02796915314545743,0.0017552937695948076,0.06185139327747277,0.9999999051350404,0.9992181486805143,0.9995617549154495,0.9993520885756675
surface,surface_total_rust_pct,GradientBoosting,none,gss_1,0.6,381,23,0.002483800652799953,0.024741970704040495,0.0038249961334492636,0.06258932061623342,0.9999997405857934,0.999199381402241,0.9991672482371976,0.9993513797412034
surface,surface_total_rust_pct,GradientBoosting,none,gss_1,0.8,500,30,0.0033097185121868495,0.015372931947406165,0.005466030108041428,0.03553958839649502,0.999999444510289,0.9997418631615734,0.9986505159076101,0.9992313916245191
surface,surface_total_rust_pct,GradientBoosting,none,gss_1,1.0,629,38,0.004206459938379618,0.014297649491982064,0.006920229582509012,0.04207799398508697,0.9999989380515123,0.9996381444369877,0.9990964785673722,0.9995969981957298
surface,surface_total_rust_pct,GradientBoosting,none,gss_2,0.2,134,8,0.00031807131351982036,1.0524414772407444,0.0004810121441817008,3.63986997422298,0.9999999914534872,0.8840122288552692,0.9977604312312762,0.995725308597965
surface,surface_total_rust_pct,GradientBoosting,none,gss_2,0.4,240,15,0.0007425388945304435,1.1971231890349003,0.0011171370863055777,4.77315838997633,0.9999999223773104,0.8005416805992044,0.9999804682126294,0.9980858663986062
surface,surface_total_rust_pct,GradientBoosting,none,gss_2,0.6,380,23,0.0017262922842634326,0.7457042559531428,0.002668867420189541,3.1694317490366295,0.9999995871231414,0.9120565960382067,0.9996333425027432,0.9987144834903318
surface,surface_total_rust_pct,GradientBoosting,none,gss_2,0.8,488,30,0.0018781695091146518,0.6944345317461565,0.0029196154215312847,3.0937203389710666,0.9999994218211422,0.9162079977099213,0.9993911714837309,0.9988289982685351
surface,surface_total_rust_pct,GradientBoosting,none,gss_2,1.0,629,38,0.0023325895137559227,0.6818484555739186,0.0036645747945201787,3.095287945995428,0.9999991885340893,0.9161230603557674,0.9994929181094607,0.9986808971285511
surface,surface_total_rust_pct,GradientBoosting,none,gss_3,0.2,132,8,0.00020504891208337721,0.1812699547891733,0.00030341186105309044,0.7909811625035662,0.9999999955630174,0.9635470822008375,0.9985488810843345,0.997654948869088
surface,surface_total_rust_pct,GradientBoosting,none,gss_3,0.4,245,15,0.0014123245019738095,0.0988144866880638,0.0021701584707223194,0.3249333028840635,0.9999997212912365,0.9938483946642233,0.9999145202374684,0.9972334675430168
surface,surface_total_rust_pct,GradientBoosting,none,gss_3,0.6,377,23,0.0027448193970797748,0.04639689192191947,0.004441460213712694,0.1726470758642877,0.9999996452651534,0.998263325334338,0.9995559044304824,0.9980792020548525
surface,surface_total_rust_pct,GradientBoosting,none,gss_3,0.8,491,30,0.0023910987372066403,0.04133448071716892,0.003781218916446675,0.19249947136857193,0.9999997019674046,0.997840967910853,0.9993995159584027,0.9980399529670743
surface,surface_total_rust_pct,GradientBoosting,none,gss_3,1.0,626,38,0.004020867576434208,0.05158951827606009,0.006654553974995,0.315766852252078,0.999998968371314,0.9941905757875641,0.9993410573916176,0.9962656739530863
surface,surface_total_rust_pct,GradientBoosting,none,gss_4,0.2,135,8,0.0007318749839228145,0.2028357083839765,0.001042145240351163,0.4832839018692312,0.9999999903900041,0.9922401607257977,0.9998951249044495,0.9948900761899108
surface,surface_total_rust_pct,GradientBoosting,none,gss_4,0.4,243,15,0.0005972028839716376,0.3009205456212032,0.0008444489806581033,1.9435866252425709,0.9999999478566732,0.8744964901647254,0.9999583923732178,0.9991617199625313
surface,surface_total_rust_pct,GradientBoosting,none,gss_4,0.6,381,23,0.0014699352595834794,0.10169547537171687,0.0023608301379407655,0.7476557228626828,0.9999997479610522,0.9814283114567273,0.99901676489329,0.9993382806277272
surface,surface_total_rust_pct,GradientBoosting,none,gss_4,0.8,495,30,0.002921579746952316,0.08811918245199774,0.004710584572028491,0.3940291943425232,0.9999995341349375,0.994841720515851,0.9995506589949333,0.9993801651906816
surface,surface_total_rust_pct,GradientBoosting,none,gss_4,1.0,624,38,0.0034444103098040346,0.07849626117048099,0.005625035756520286,0.3815268431706579,0.999999201551149,0.9951638666650453,0.999261825586665,0.9994993775408444
surface,peak_rust_pct,RandomForest,none,gss_0,0.2,132,8,0.4866557819404561,0.7791162135360636,1.1004091024260947,1.4262678203001868,0.996615619767454,0.9821316437016394,0.99776938873871,0.9957314877030359
surface,peak_rust_pct,RandomForest,none,gss_0,0.4,252,15,0.3175141216457246,0.7235116311957317,1.6684635466457796,1.5846356662302028,0.9527444213373697,0.9779432617390701,0.99900362035851,0.9964099442992957
surface,peak_rust_pct,RandomForest,none,gss_0,0.6,378,23,0.37764788230335694,0.8659097759334593,0.8797442579472691,1.687480500685807,0.9948846311692972,0.9749873352220301,0.997246675044448,0.9962106597654614
surface,peak_rust_pct,RandomForest,none,gss_0,0.8,494,30,0.3778062271148562,0.6033753009659149,0.8653582007029893,1.1181055537855726,0.9948625355732666,0.9890188443910447,0.9974043697591207,0.9973242295740661
